"","Clade","ERR1971003","ERR1971004","ERR1971005","ERR1971006","ERR1971007","ERR1971008","ERR1971009","ERR1971010","ERR1971011","ERR1971012","ERR1971013","ERR1971014","ERR1971015","ERR1971016","ERR1971017","ERR1971018","ERR1971019","ERR1971020","ERR1971021","ERR1971022","ERR1971023","ERR1971024","ERR1971025","ERR1971026","ERR1971027","ERR1971028","ERR1971029","ERR1971030","ERR1971031"
"31","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis|t__GCF_000364865",0.00095,0,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0
"32","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus",0.0011,0,0,0,0.00101,0.00795,0,0,0,0,0,0,0,0,0,7e-05,8e-05,0,0,0,0,0,0,0,0.00012,0.00088,0,0,0
"33","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus|t__GCF_000411155",0.0011,0,0,0,0.00101,0.00795,0,0,0,0,0,0,0,0,0,7e-05,8e-05,0,0,0,0,0,0,0,0.00012,0.00088,0,0,0
"34","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae",0,0.00083,0.00057,0.00012,0,0,0,0,0.00015,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0.00017,0,0,0,0,0
"35","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae|t__GCF_000277685",0,0.00083,0.00057,0.00012,0,0,0,0,0.00015,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0.00017,0,0,0,0,0
"36","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",0.00534,0.00015,0.00015,0.00132,0.01611,0.00044,0.00392,0.00162,9e-04,0.00048,0,0.0018,0.00088,0.00013,0.00017,0.00895,8e-05,0.00014,0.00059,0,0.00194,0.00028,0.00015,0.00013,0.00299,0,0.00046,0.00057,0
"37","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified",0.00534,0.00015,0.00015,0.00132,0.01611,0.00044,0.00392,0.00162,9e-04,0.00048,0,0.0018,0.00088,0.00013,0.00017,0.00895,8e-05,0.00014,0.00059,0,0.00194,0.00028,0.00015,0.00013,0.00299,0,0.00046,0.00057,0
"38","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii",0.00016,0.00023,0.00117,0.00068,0.00207,0.00361,0,0,0.00013,0.00037,0,8e-05,0,0.00041,0,0,0,0,0,0,0.00021,0,0,0.00021,0.00038,0.00036,0,8e-05,0
"39","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii|t__Actinomyces_johnsonii_unclassified",0.00016,0.00023,0.00117,0.00068,0.00207,0.00361,0,0,0.00013,0.00037,0,8e-05,0,0.00041,0,0,0,0,0,0,0.00021,0,0,0.00021,0.00038,0.00036,0,8e-05,0
"40","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis",0,0.00627,4e-04,0.00182,0.00018,0.00173,0.00019,0,0,0.00111,0,0,0.00093,0,0,0,0,0,0,0,0,0.00043,0,0.00023,0,0.00018,0.00016,7e-05,0
"41","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis|t__Actinomyces_massiliensis_unclassified",0,0.00627,4e-04,0.00182,0.00018,0.00173,0.00019,0,0,0.00111,0,0,0.00093,0,0,0,0,0,0,0,0,0.00043,0,0.00023,0,0.00018,0.00016,7e-05,0
"42","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii",0.00018,0,0.00386,0.00181,0.00319,0.00149,0.00013,0,0.00195,0.00225,0,0,0,0.00023,0,0,0.00029,0.00024,0,0,0.00023,0,0.00025,0.00023,0.00074,0.00016,0.00016,5e-05,0
"43","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii|t__GCF_000285995",0.00018,0,0.00386,0.00181,0.00319,0.00149,0.00013,0,0.00195,0.00225,0,0,0,0.00023,0,0,0.00029,0.00024,0,0,0.00023,0,0.00025,0.00023,0.00074,0.00016,0.00016,5e-05,0
"44","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_neuii",0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_neuii|t__GCF_000296485",0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0.00866,0.01318,0.0033,0.0111,0.0103,0.00932,0.01038,0.00882,0.00146,0.0289,0,0.00068,0.00228,0.00064,0.00053,0.00075,0,0.00095,4e-04,0,0.00349,0.00076,4e-04,0.00254,0.00254,0.00051,0.00248,0.0011,0
"47","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified",0.00866,0.01318,0.0033,0.0111,0.0103,0.00932,0.01038,0.00882,0.00146,0.0289,0,0.00068,0.00228,0.00064,0.00053,0.00075,0,0.00095,4e-04,0,0.00349,0.00076,4e-04,0.00254,0.00254,0.00051,0.00248,0.0011,0
"48","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris",0.0011,0,0.00131,0.00065,0.00254,0,0.00013,0.00028,0.00014,0.0029,0,0,0,0,0,0.00014,0,0,0,0,0.00024,0,0,0,0.00086,0,0,0.00023,0
"49","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__GCF_000180155",0.0011,0,0.00131,0.00065,0.00254,0,0.00013,0.00028,0.00014,0.0029,0,0,0,0,0,0.00014,0,0,0,0,0.00024,0,0,0,0.00086,0,0,0.00023,0
"50","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis",0,0,0,0,0,0,0.00016,0,9e-05,0.00013,0,5e-05,0,0,0,0,0,7e-05,0,0,0,0,0,0,0,0,3e-05,0,0
"51","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis|t__GCF_000296505",0,0,0,0,0,0,0.00016,0,9e-05,0.00013,0,5e-05,0,0,0,0,0,7e-05,0,0,0,0,0,0,0,0,3e-05,0,0
"52","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus",0.00188,0.00033,0.00067,0.00146,0.0071,0.00129,0.00049,0.00089,9e-05,0.00345,0,0.00017,1e-04,3e-04,5e-05,0.00043,0,0,0,0,0,0,0.00016,0.00015,0.00103,5e-05,0.00013,0.00027,0
"53","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus|t__GCF_000175315",0.00188,0.00033,0.00067,0.00146,0.0071,0.00129,0.00049,0.00089,9e-05,0.00345,0,0.00017,1e-04,3e-04,5e-05,0.00043,0,0,0,0,0,0,0.00016,0.00015,0.00103,5e-05,0.00013,0.00027,0
"54","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus",0,0,0,2e-04,0,0.00033,0.00015,0.00018,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0,0
"55","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_curtisii",0,0,0,2e-04,0,0,0.00015,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0,0,0,0
"56","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_curtisii|t__Mobiluncus_curtisii_unclassified",0,0,0,2e-04,0,0,0.00015,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0,0,0,0
"57","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_mulieris",0,0,0,0,0,0.00033,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_mulieris|t__Mobiluncus_mulieris_unclassified",0,0,0,0,0,0.00033,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0
"60","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum",0,0,0,0,0.00013,0,7e-05,0.00015,0,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0
"61","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense",0,0,0,0,0.00013,0,7e-05,0.00015,0,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0
"62","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense|t__GCF_000420065",0,0,0,0,0.00013,0,7e-05,0.00015,0,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0
"63","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae",0,0.00064,0.00805,0.00114,0,0.00123,0.00053,0.00069,0,0.00494,0,2e-04,0.00013,0.00064,0.00012,0,0,0,0.00035,0,0.00069,0,0.00028,0.00013,0,0.00027,4e-05,8e-05,6e-05
"64","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium",0,0.00064,0.00805,0.00114,0,0.00123,0.00053,0.00069,0,0.00494,0,2e-04,0.00013,0.00064,0.00012,0,0,0,0.00035,0,0.00069,0,0.00028,0.00013,0,0.00027,4e-05,8e-05,6e-05
"65","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens",0,0,0,8e-05,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05
"66","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens|t__Corynebacterium_accolens_unclassified",0,0,0,8e-05,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05
"67","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei",0,0,0,0.00016,0,0.00019,0,0,0,0.00321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei|t__GCF_000234765",0,0,0,0.00016,0,0.00019,0,0,0,0.00321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
